participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,story_id,premise_id,model_short,strategy
10,148,4,5,4,4,4,4,iy9az9h,13,Human-Advanced,
11,148,3,3,3,3,2,4,iy9az9h,13,Human-Advanced,
15,148,4,4,5,5,4,5,iy9az9h,13,Human-Advanced,
8,149,2,2,2,2,1,1,3.38E+18,6,GPT-3.5,plan_write
10,149,4,4,3,4,3,4,3.38E+18,6,GPT-3.5,plan_write
11,149,2,2,2,3,3,2,3.38E+18,6,GPT-3.5,plan_write
15,149,3,2,1,2,2,2,3.38E+18,6,GPT-3.5,plan_write
8,150,5,5,4,5,3,5,j1c78o2,6,Human-Novice,
10,150,4,4,3,4,3,4,j1c78o2,6,Human-Novice,
11,150,3,3,3,4,2,4,j1c78o2,6,Human-Novice,
15,150,4,5,5,5,4,5,j1c78o2,6,Human-Novice,
8,151,2,1,3,2,1,5,jhlrfd8,16,Human-Intermediate,
10,151,3,4,3,3,3,3,jhlrfd8,16,Human-Intermediate,
11,151,2,3,3,3,3,4,jhlrfd8,16,Human-Intermediate,
15,151,3,4,3,4,4,5,jhlrfd8,16,Human-Intermediate,
8,152,5,5,5,4,4,5,ix8xuyh,8,Human-Intermediate,
10,152,3,2,2,1,1,1,ix8xuyh,8,Human-Intermediate,
11,152,2,2,4,4,3,4,ix8xuyh,8,Human-Intermediate,
15,152,2,2,3,3,3,5,ix8xuyh,8,Human-Intermediate,
8,153,3,2,2,2,3,5,iyj6vgn,14,Human-Novice,
10,153,2,1,2,1,2,1,iyj6vgn,14,Human-Novice,
11,153,2,2,2,2,2,4,iyj6vgn,14,Human-Novice,
15,153,3,2,1,2,3,5,iyj6vgn,14,Human-Novice,
8,154,4,2,2,1,1,5,-1.83E+18,16,Llama-2-13B,writer_profile
10,154,3,3,3,3,3,3,-1.83E+18,16,Llama-2-13B,writer_profile
11,154,3,2,3,3,2,4,-1.83E+18,16,Llama-2-13B,writer_profile
15,154,4,3,4,4,4,4,-1.83E+18,16,Llama-2-13B,writer_profile
8,155,5,4,4,4,5,5,j1roodk,10,Human-Advanced,
10,155,2,1,1,2,2,1,j1roodk,10,Human-Advanced,
11,155,2,2,2,2,2,4,j1roodk,10,Human-Advanced,
15,155,2,3,2,3,3,4,j1roodk,10,Human-Advanced,
8,156,2,1,1,1,1,1,7.88E+18,7,Mixtral-8x7B,plan_write
10,156,3,4,3,3,3,3,7.88E+18,7,Mixtral-8x7B,plan_write
